Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,polish
creativeDecoBlockGroupDesc,blocks,Block,,,This building block or decoration can not be upgraded to more durable materials.,,Tego bloku konstrukcyjnego lub dekoracji nie można ulepszyć do bardziej wytrzymałych materiałów.
orePotassiumNitrateBoulder,blocks,Block,,,Potassium Nitrate Ore Boulder,,Głaz — złoże saletry
plantedCoffee1,blocks,Farming,,,Coffee (Seed),,Kawowiec (nasiono)
plantedCoffee1Schematic,blocks,Farming,,,Coffee (Seed) Recipe,,Kawowiec (nasiono) — przepis
plantedCoffee2,blocks,Farming,,,Coffee (Growing),,Kawowiec (rosnący)
plantedCoffee3Harvest,blocks,Farming,,,Coffee Plant 3 (POI),,Kawowiec 3 (POI)
plantedCoffee3HarvestDesc,blocks,Farming,,,Coffee Plant,,Kawowiec
plantedCoffeeDead,blocks,Farming,,,Dead Coffee Plant (POI),,Martwy kawowiec (POI)
plantedCoffeeDeadDesc,blocks,Farming,,,Dead Coffee Plant,,Martwy kawowiec
plantedCoffeeHarvestRandomHelper,blocks,Farming,,,= Coffee = Random Helper,,= Kawowiec = losowy pomocnik
terrOrePotassiumNitrate,blocks,Terrain,,,Potassium Nitrate,,Saletra
terrOreStonePotassiumRandom,blocks,Terrain,,,= Nitrate Vein = Helper,,= Złoże saletry = pomocnik
terrOreStonePotassiumRandomDesc,blocks,Terrain,,,Nitrate / Stone / Sandstone,,Saletra / kamień / piaskowiec
campfireDesc,blocks,Workstation,,,"Useful to cook food and warm up. Unlock more recipes by adding a cooking pot, cooking grill or beaker.\n\nRepair with Small Stone.",,"Można na nim gotować i pozwala się ogrzać. Odblokuj dodatkowe przepisy, korzystając z garnka, grilla lub zlewki.\n\nNaprawiaj za pomocą małego kamienia."
forgeDesc,blocks,Workstation,,,"Used to smelt metals to craft tools and weapons or stone to craft cement. Install tools to increase performance or unlock recipes.\n\nRepair with Small Stone, Clay Soil, and Leather.",,"Służy do wytapiania metali, wytwarzania narzędzi i broni lub kamieni niezbędnych do produkcji cementu. Zainstaluj narzędzia, aby zwiększyć wydajność lub odblokować przepisy.\n\nNaprawiaj za pomocą małego kamienia, gleby gliniastej i skóry."
challengeCraftClothesHint1,Challenges,Challenge,,,[00FF00]Open [-][FFB400]the crafting menu [action:local:Inventory][action:permanent:Inventory].\nSelect [-][00FF00]Primitive Outfit[-][FFB400] in [-][00FF00]Basics[-][FFB400] list.[-]\n[00FF00]Press [-][FFB400][action:local:Forward] to [00FF00]Craft [-][FFB400]them.[-],,"[00FF00]Otwórz [-][FFB400]menu wytwarzania [action:local:Inventory][action:permanent:Inventory].\nWybierz [-][00FF00]prymitywny strój[-][FFB400]z listy [-][00FF00]Podstawy[-][FFB400].[-]\n[00FF00]Naciśnij [-][FFB400][action:local:Forward], aby go [00FF00]wytworzyć[-][FFB400].[-]"
